
this is long file 

"ExpNo" "TreatNo" "Date" "Variable" "simValue" "obsValue" "Error"
"217" 1 2 "02/12/2010" "LAI" 0.394 0.32 0.05
"218" 1 2 "02/12/2010" "LeafDM" 228.686 65 14
"219" 1 2 "02/12/2010" "LeafLigules" 5.351 3.97 0.17
"220" 1 2 "02/12/2010" "StemDM" 55.475 82 63
"221" 1 2 "03/03/2011" "LightInt" 0.866 0.82 0.04
"222" 1 2 "03/12/2010" "LightInt" 0.165 0.14 0.03
"223" 1 2 "05/01/2011" "LeafLigules" 14.313 10.53 0.81
"224" 1 2 "05/11/2010" "stage_code" 3 2 0
"225" 1 2 "06/01/2011" "LightInt" 0.877 0.74 0.07
"226" 1 2 "06/04/2011" "AboveDM" 23631.684 20440 208
"227" 1 2 "06/04/2011" "GrainDM" 12353.561 12106 176
"228" 1 2 "06/04/2011" "LeafDM" 2.17 1250 115
"229" 1 2 "06/04/2011" "StemDM" 7388.33 4110 132
"230" 1 2 "06/12/2010" "LeafLigules" 6.391 4.36 0.49
"231" 1 2 "07/04/2011" "LightInt" 0 0.63 0.05
"232" 1 2 "08/11/2010" "stage_code" 3 2.53 0.06
"233" 1 2 "09/02/2011" "AboveDM" 15460.524 12550 800
"234" 1 2 "09/02/2011" "GrainDM" 3351.352 1526 250
"235" 1 2 "09/02/2011" "LeafDM" 1899.87 1963 115
"236" 1 2 "09/02/2011" "LightInt" 0.867 0.84 0.03
"237" 1 2 "09/02/2011" "StemDM" 8219.38 5490 415
"238" 1 2 "09/03/2011" "AboveDM" 21081.24 19193 1183
"239" 1 2 "09/03/2011" "GrainDM" 9060.313 8996 1547
"240" 1 2 "09/03/2011" "LeafDM" 1882.34 2021 305
"241" 1 2 "09/03/2011" "LightInt" 0.866 0.85 0.04
"242" 1 2 "09/03/2011" "StemDM" 8131.135 4919 678
"243" 1 2 "09/11/2010" "stage_code" 3 2.82 0.03
"244" 1 2 "09/12/2010" "LightInt" 0.302 0.16 0.04
"245" 1 2 "10/01/2011" "LeafLigules" 14.313 12.42 0.97
"246" 1 2 "10/01/2011" "LightInt" 0.876 0.83 0.04
"247" 1 2 "10/01/2011" "stage_code" 6 5.9 0.09
"248" 1 2 "10/01/2011" "stage_code" 6 6 0
"249" 1 2 "10/11/2010" "stage_code" 3 2.93 0.03
"250" 1 2 "10/12/2010" "LeafLigules" 7.18 4.89 0.32
"251" 1 2 "11/11/2010" "stage_code" 3 2.99 0.02
"252" 1 2 "13/01/2011" "AboveDM" 8981.72 5592 980
"253" 1 2 "13/01/2011" "LAI" 4.389 3.14 0.46
"254" 1 2 "13/01/2011" "LeafDM" 2096.327 1807 332
"255" 1 2 "13/01/2011" "LeafLigules" 14.313 13.42 0.55
"256" 1 2 "13/01/2011" "LightInt" 0.875 0.78 0.04
"257" 1 2 "13/01/2011" "stage_code" 7 6.1 0.06
"258" 1 2 "13/01/2011" "stage_code" 7 6 0.02
"259" 1 2 "13/01/2011" "StemDM" 5572.745 3785 705
"260" 1 2 "13/12/2010" "LeafLigules" 7.975 5 0
"261" 1 2 "15/01/2011" "stage_code" 7 6.1 0.05
"262" 1 2 "15/01/2011" "stage_code" 7 6 0.02
"263" 1 2 "15/11/2010" "LeafLigules" 2.019 1 0
"264" 1 2 "15/11/2010" "stage_code" 3 3 0
"265" 1 2 "16/02/2011" "LightInt" 0.867 0.9 0.04
"266" 1 2 "16/03/2011" "LightInt" 0.866 0.8 0.03
"267" 1 2 "16/12/2010" "LeafLigules" 8.879 5.67 0.48
"268" 1 2 "17/01/2011" "LeafLigules" 14.313 13.5 0.51
"269" 1 2 "17/01/2011" "stage_code" 7 6 0
"270" 1 2 "17/01/2011" "stage_code" 7 6.6 0.25
