"exp" "treat" "var" "n" "RMSD" "RMSD_mean" "R2"
"254" 23 4 "LAI" 5 0.8 49.4 43.8
"255" 23 4 "LeafDM" 5 464.4 53 41.3
"256" 23 4 "LeafLigules" 13 1.9 23.4 83.9
"257" 23 4 "StemDM" 5 2262.3 91.3 35.9
"258" 23 4 "stage_code" 15 0.6 12.2 85.7
"259" 23 4 "GrainDM" 5 2153 90.5 31.2
"260" 23 5 "LightInt" 16 0.1 12.7 92.3
"261" 23 5 "AboveDM" 5 2205.6 12.2 89.5
"262" 23 5 "LAI" 5 0.8 21.1 73.2
"263" 23 5 "LeafDM" 5 781 33.6 61.9
"264" 23 5 "LeafLigules" 13 1.7 20.9 85.9
"265" 23 5 "StemDM" 5 1042.8 16 88.8
"266" 23 5 "stage_code" 15 0.6 12.3 85.6
"267" 23 5 "GrainDM" 5 1282.3 20.6 89.4
"268" 23 6 "LightInt" 16 0.2 40.5 38.7
"269" 23 6 "AboveDM" 5 803.5 9.9 91.5
"270" 23 6 "LAI" 5 1 54.3 36.2
"271" 23 6 "LeafDM" 5 584.3 58.3 36
"272" 23 6 "LeafLigules" 13 1.8 22.1 84.4
"273" 23 6 "StemDM" 5 2296 87.6 30.2
"274" 23 6 "stage_code" 15 0.6 12.2 86
"275" 23 6 "GrainDM" 5 2586.7 96.1 28.6
"276" 24 1 "AboveDM" 4 4036.7 27.1 74.6
"277" 24 1 "LAI" 4 0.6 17.2 93.8
"278" 24 1 "GrainDM" 1 7242.8 64.2 NA
"279" 24 2 "AboveDM" 4 4255.8 24.7 76.9
"280" 24 2 "LAI" 4 1 24.1 83.9
"281" 24 2 "GrainDM" 1 4551.7 39.5 NA
"282" 24 3 "AboveDM" 4 3095.9 17.4 83.4
"283" 24 3 "LAI" 4 1.2 27 80.2
"284" 24 3 "GrainDM" 1 4633.3 33.5 NA
"285" 24 4 "AboveDM" 4 3031.3 16.3 84.5
"286" 24 4 "LAI" 4 1.2 27.6 84.2
"287" 24 4 "GrainDM" 1 1838.7 14.8 NA
"288" 24 5 "AboveDM" 4 2855.9 15.4 84
"289" 24 5 "LAI" 4 1.3 29.2 79.8
"290" 24 5 "GrainDM" 1 586.7 5.9 NA
"291" 3 1 "LightInt" 7 0.1 16.8 85.9
"292" 3 1 "AboveDM" 2 845.7 8.7 91.9
"293" 3 1 "LeafDM" 2 1169.2 36.2 66.4
"294" 3 1 "LeafLigules" 8 1.7 29.8 80.3
"295" 3 1 "StemDM" 2 404.6 7.1 96
"296" 3 1 "stage_code" 5 0.7 11.1 84.7
"297" 3 2 "LightInt" 7 0.3 41.6 57
"298" 3 2 "AboveDM" 4 8095.3 36.5 66
"299" 3 2 "LeafDM" 4 1828.1 49.6 36
"300" 3 2 "LeafLigules" 6 1.8 22.2 81.7
"301" 3 2 "StemDM" 4 1359.3 18.4 75.3
"302" 3 2 "stage_code" 5 1.8 26.6 NA
"303" 3 2 "GrainDM" 2 6090.6 39.1 61
"304" 3 3 "LightInt" 7 0.1 16.9 89.1
"305" 3 3 "AboveDM" 3 2434.5 16 87.3
"306" 3 3 "LeafDM" 3 1243.8 38.9 53.4
"307" 3 3 "LeafLigules" 8 1.5 24.1 85.7
"308" 3 3 "StemDM" 3 1197.2 20.8 85.8
"309" 3 3 "stage_code" 5 0.6 9 78
"310" 3 3 "GrainDM" 1 2085.5 15.3 NA
"311" 3 4 "LightInt" 7 0.2 28.6 72.7
"312" 3 4 "AboveDM" 3 5178.5 28.6 73.3
"313" 3 4 "LeafDM" 3 1014.4 33.4 58.7
"314" 3 4 "LeafLigules" 6 1.8 21.9 80.9
"315" 3 4 "StemDM" 3 1783.5 25.2 77.5
"316" 3 4 "stage_code" 5 1.6 23.5 13.6
"317" 3 4 "GrainDM" 1 5637.5 36.9 NA
"318" 6 1 "LightInt" 5 0.2 27.9 69.7
"319" 6 1 "AboveDM" 3 3674.9 35.1 87.7
