ExpNo	TreatNo	Date	obsValue	Error	Variable
1	2	28/03/2011	0.73	0.08	LightInt
1	2	07/04/2011	0.63	0.05	LightInt
1	1	24/11/2010	0.01	0.01	LightInt
1	1	03/12/2010	0.17	0.03	LightInt
1	1	09/12/2010	0.20	0.03	LightInt
1	1	17/12/2010	0.42	0.02	LightInt
1	1	23/12/2010	0.53	0.02	LightInt
1	1	30/12/2010	0.71	0.04	LightInt
1	1	06/01/2011	0.72	0.05	LightInt
1	1	10/01/2011	0.84	0.02	LightInt
1	1	13/01/2011	0.77	0.02	LightInt
1	1	19/01/2011	0.83	0.03	LightInt
1	1	26/01/2011	0.90	0.01	LightInt
1	1	27/01/2011	0.85	0.04	LightInt
1	1	01/02/2011	0.81	0.04	LightInt
1	1	09/02/2011	0.82	0.05	LightInt
1	1	16/02/2011	0.89	0.03	LightInt
1	1	24/02/2011	0.84	0.03	LightInt
1	1	03/03/2011	0.80	0.03	LightInt
1	1	09/03/2011	0.83	0.02	LightInt
1	1	16/03/2011	0.81	0.03	LightInt
1	1	28/03/2011	0.76	0.05	LightInt
1	1	07/04/2011	0.63	0.03	LightInt
2	1	03/11/2008	2.6	0.2	LeafLigules
2	1	17/11/2008	1.87	0.81	LeafLigules
2	3	08/01/2009	7.4	0.53	LeafLigules
2	3	19/01/2009	9.2	0.4	LeafLigules
2	3	28/01/2009	11.47	0.23	LeafLigules
2	3	05/02/2009	13.73	0.42	LeafLigules
2	3	16/02/2009	17.67	1.15	LeafLigules
2	3	27/02/2009	19.8	0.4	LeafLigules
2	2	03/11/2008	5.73	0.12	LeafLigules
2	2	17/11/2008	0.8	0.92	LeafLigules
2	4	08/01/2009	9.33	0.64	LeafLigules
2	4	19/01/2009	11.4	1	LeafLigules
2	4	28/01/2009	14.13	1.1	LeafLigules
2	4	05/02/2009	16.93	1.53	LeafLigules
2	4	16/02/2009	19.67	0.42	LeafLigules
2	4	27/02/2009	19.67	0.42	LeafLigules
2	5	03/11/2008	2.53	0.23	LeafLigules
2	5	17/11/2008	1.13	0.12	LeafLigules
2	7	08/01/2009	7.4	0.2	LeafLigules
2	7	19/01/2009	9.33	0.31	LeafLigules
2	7	28/01/2009	12.4	0.72	LeafLigules
2	7	05/02/2009	15.2	0.6	LeafLigules
2	7	16/02/2009	16.07	0.23	LeafLigules
2	7	27/02/2009	16.07	0.23	LeafLigules
2	6	03/11/2008	5.27	0.58	LeafLigules
2	6	17/11/2008	0.27	0.31	LeafLigules
2	8	08/01/2009	9.93	1.22	LeafLigules
2	8	19/01/2009	12.87	1.63	LeafLigules
2	8	28/01/2009	16.87	1.27	LeafLigules
2	8	05/02/2009	17.07	0.95	LeafLigules
2	8	16/02/2009	17.27	0.61	LeafLigules
2	8	27/02/2009	17.27	0.61	LeafLigules
2	1	03/11/2008	5.07	0.12	LeafTips
2	1	17/11/2008	4.33	0.61	LeafTips
2	3	08/01/2009	11.6	0.2	LeafTips
2	3	19/01/2009	14.27	0.31	LeafTips
2	3	28/01/2009	16.4	0.35	LeafTips
2	3	05/02/2009	17.47	0.12	LeafTips
2	3	16/02/2009	18.8	0.35	LeafTips
2	3	27/02/2009	20	0.6	LeafTips
2	2	03/11/2008	7.8	0.72	LeafTips
2	2	17/11/2008	3.07	2.21	LeafTips
2	4	08/01/2009	14.13	0.9	LeafTips
2	4	19/01/2009	16.33	0.81	LeafTips
2	4	28/01/2009	17.4	0.69	LeafTips
2	4	05/02/2009	18.47	0.9	LeafTips
2	4	16/02/2009	19.67	0.42	LeafTips
2	4	27/02/2009	19.67	0.42	LeafTips
2	5	03/11/2008	5.13	0.12	LeafTips
2	5	17/11/2008	3.13	0.12	LeafTips
2	7	08/01/2009	12.27	0.7	LeafTips
2	7	19/01/2009	14.27	0.23	LeafTips
2	7	28/01/2009	15.4	0.4	LeafTips
2	7	05/02/2009	15.8	0.2	LeafTips
2	7	16/02/2009	16.07	0.23	LeafTips
2	7	27/02/2009	16.07	0.23	LeafTips
2	6	03/11/2008	7.8	0.92	LeafTips
2	6	17/11/2008	2.13	1.33	LeafTips
2	8	08/01/2009	15	1.06	LeafTips
2	8	19/01/2009	15.93	0.9	LeafTips
2	8	28/01/2009	17.13	0.81	LeafTips
2	8	05/02/2009	17.2	0.72	LeafTips
2	8	16/02/2009	17.27	0.61	LeafTips
2	8	27/02/2009	17.27	0.61	LeafTips
2	1	30/12/2008	0.68	0.02	LightInt
2	3	30/12/2008	0.23	0.05	LightInt
2	3	07/01/2009	0.53	0.04	LightInt
2	3	14/01/2009	0.68	0.01	LightInt
2	3	08/02/2009	0.97	0.02	LightInt
2	2	30/12/2008	0.75	0.02	LightInt
2	4	30/12/2008	0.43	0.09	LightInt
2	4	07/01/2009	0.76	0.06	LightInt
